Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,6.990000,7.010000,6.710000,6.760000,6.620504,41348700
2015-01-05,6.330000,6.350000,6.050000,6.070000,5.944743,55974700
2015-01-06,6.120000,6.190000,5.790000,6.020000,5.895774,39025600
2015-01-07,6.140000,6.350000,6.110000,6.200000,6.072060,46539700
2015-01-08,6.550000,6.950000,6.430000,6.760000,6.620504,52390300
2015-01-09,6.740000,7.190000,6.620000,7.060000,6.914313,44718300
2015-01-12,6.850000,6.860000,6.490000,6.570000,6.434425,37678000
2015-01-13,6.720000,6.970000,6.650000,6.780000,6.640091,40245600
2015-01-14,6.560000,6.920000,6.430000,6.820000,6.679266,43066400
2015-01-15,6.920000,7.060000,6.810000,6.910000,6.767409,51246800
2015-01-16,7.120000,7.250000,7.000000,7.060000,6.914313,41324300
2015-01-20,7.150000,7.190000,6.680000,6.810000,6.669472,43762900
2015-01-21,6.930000,7.420000,6.910000,7.350000,7.198329,35764600
2015-01-22,7.750000,7.750000,7.470000,7.650000,7.492139,37599400
2015-01-23,7.540000,7.620000,7.250000,7.250000,7.100392,26105300
2015-01-26,7.250000,7.360000,7.180000,7.230000,7.080806,23617100
2015-01-27,7.100000,7.650000,7.070000,7.450000,7.296265,30916100
2015-01-28,6.760000,6.820000,6.520000,6.560000,6.424631,62843200
2015-01-29,6.300000,6.670000,6.120000,6.400000,6.267933,53961100
2015-01-30,6.020000,6.160000,5.870000,6.010000,5.885982,96673000
2015-02-02,5.980000,6.450000,5.980000,6.410000,6.277726,43605200
2015-02-03,6.810000,7.310000,6.800000,7.290000,7.139568,68960600
2015-02-04,7.080000,7.460000,6.940000,7.260000,7.110187,62653600
2015-02-05,7.100000,7.360000,6.950000,7.110000,6.963282,39717700
2015-02-06,6.630000,6.780000,6.350000,6.540000,6.405044,75523900
2015-02-09,6.360000,6.750000,6.360000,6.720000,6.581329,41356300
2015-02-10,6.730000,6.750000,6.170000,6.230000,6.101441,51570100
2015-02-11,6.220000,6.270000,6.010000,6.230000,6.101441,46379500
2015-02-12,6.470000,6.640000,6.400000,6.540000,6.405044,48566400
2015-02-13,6.820000,7.040000,6.800000,6.980000,6.835964,51284600
2015-02-17,7.080000,7.160000,6.740000,7.100000,6.953488,34388400
2015-02-18,7.020000,7.170000,6.870000,6.970000,6.826170,34596600
2015-02-19,6.720000,6.850000,6.600000,6.640000,6.502981,40673900
2015-02-20,6.610000,6.700000,6.530000,6.660000,6.522568,31683700
2015-02-23,6.530000,6.580000,6.410000,6.480000,6.346282,30675800
2015-02-24,6.590000,6.880000,6.560000,6.860000,6.718441,31602000
2015-02-25,6.310000,6.500000,6.260000,6.490000,6.356075,69373500
2015-02-26,6.400000,6.440000,6.270000,6.290000,6.160203,30573100
2015-02-27,6.400000,6.700000,6.380000,6.630000,6.493187,37142800
2015-03-02,6.620000,6.630000,6.350000,6.370000,6.238552,34314700
2015-03-03,6.570000,6.600000,6.410000,6.410000,6.277726,26692700
2015-03-04,6.280000,6.300000,6.120000,6.180000,6.052472,42047800
2015-03-05,6.110000,6.140000,6.010000,6.080000,5.954536,31256500
2015-03-06,6.000000,6.050000,5.930000,5.960000,5.837013,36022200
2015-03-09,5.820000,5.860000,5.580000,5.590000,5.474648,43141900
2015-03-10,5.600000,5.640000,5.300000,5.300000,5.190631,64525100
2015-03-11,5.320000,5.460000,5.280000,5.410000,5.298362,32610400
2015-03-12,5.480000,5.610000,5.180000,5.210000,5.102489,32316500
2015-03-13,5.040000,5.050000,4.900000,5.010000,4.906617,56835400
2015-03-16,5.080000,5.130000,4.920000,5.090000,4.984965,31735900
2015-03-17,5.010000,5.400000,5.000000,5.390000,5.278774,42929500
2015-03-18,5.280000,5.670000,5.230000,5.660000,5.543202,55727800
2015-03-19,5.510000,5.540000,5.240000,5.260000,5.151458,34734900
2015-03-20,5.430000,5.620000,5.400000,5.590000,5.474648,30762400
2015-03-23,5.710000,5.890000,5.700000,5.830000,5.709695,37058500
2015-03-24,5.930000,5.980000,5.790000,5.880000,5.758664,32207200
2015-03-25,6.010000,6.120000,5.930000,6.030000,5.905568,56527500
2015-03-26,6.100000,6.170000,5.750000,5.790000,5.670521,45273600
